Email_Client,Product,Price,Pay_Method,Bank,Type_Card,Street,Number,Region
mortiz@yahoo.com,"Sony SRS-XB13 Wireless Extra Bass Portable Compact Bluetooth Speaker with 16 Hours Battery Life, Type-C, IP67 Waterproof, Dustproof, Speaker with Mic, Loud Audio for Phone Calls/Work from Home (Blue)",47.54,Fintoc,Banco Security,MasterCard Débito,JAVIERA CARRERA,594,Región de Tarapacá
sarahlogan@hotmail.cl,"CD Optical Pickup Laser Lens, 6+8PIN Replacement Optical Pick Up Laser Lens Head, Data Reading Lens Fit for RCD1.3 RCD1.3D CD Players (HOP-M3)",80.23,Paypal,Banco Falabella,Visa,PUERTO NATALES,1661,Región de Tarapacá
eclay@icloud.com,"AZATOM Studio Eclipse Soundbar 2.1 with built-in Subwoofer, Surround Sound, 180W Bluetooth Wireless, Large Remote Control,Optical Cable included (36inch)",51.48,PagoFacil,Banco Santander Chile,MasterCard Débito,BANDERA,6005,Región de Antofagasta
wdawson@live.com,VAM1202 VAM1201 CDM1202 CDM1201 Optical Pick-ups Optique CDM12.1 CDM12.2 VAM1201L3 Player Lens Replacement Optical Lens,72.75,WebPay,Banco Consorcio,Redcompra,PUERTO MONTT,6071,Región del Biobío
gwarner@yahoo.com,"Focal Aria 906 Speakers - Black - 2-Way Speakers (1.0 Channels, Wired, 55-28000 Hz, 8 Ohm, Black)",50.44,PagoFacil,Banco Internacional,MasterCard,LUMACO,2990,Región de Valparaíso
cantukevin@icloud.com,EEEONE Replacement for AMIGA CD-32 CD32 Radio CD Player Laser Head Optical Pick-ups Bloc Optique Repair Parts opticals,36.73,Paypal,Banco Falabella,MasterCard Débito,20 DE AGOSTO,962,Región del Maule
abell@icloud.com,EEEONE For MERIDIAN 508 CS4329 dvd Player Blu-ray CD Player Laser Lens Optical Pick-ups Bloc Optique DVD Laser Lens Optical Pick-up opticals,49.56,Mach,Banco Security,MasterCard Débito,LLULLAILLACO,1067,Región de Magallanes y de la Antártica Chilena
mitchell08@msn.com,Power Dynamics 8 x PD CSPE5 Ceiling Speaker White 100V Line PA Hifi Sound System Audio,64.99,Mach,Banco Estado (Banco del Estado de Chile),Visa Débito,LAS DELICIAS,1254,Región de Los Lagos
chelsea67@gmail.cl,"Momoho Multifunctional IPX7 Waterproof Bluetooth Speaker, Micro SD Support TWS Pairing Stereo Portable Speakers With Camera Remote Control For Smartphones, Small Pillow Speaker(With Watchband, Gray)",51.88,Mach,Banco Santander Chile,Diners Club,AGUSTINAS,761,Región de Atacama
pvaughn@gmail.cl,"Game Console Head, Quick Read Professional DVD Lens Head for Sensitive Game Console Repair Parts (Single Head)",54.1,Flow,Banco Itaú-Corpbanca,Visa Débito,MATUCANA,780,Región del Libertador General Bernardo O'Higgins
